No.,Item,Description,Date,"Transaction
Type",Quantity,Unit,Assigned,Assign history,Status,S/N,Remark
1,Ram 4Gb,,16/02/2024,in,4.0,pcs,Stock IT,,,,
2,Ram 4Gb,upgrade linh.lengocmy's laptop,16/02/2024,out,1.0,pcs,linh.lengocmy,,,,"Broken: can't fix
None-use: Don't use anymore and don't the status of device"
3,Maken MK410,,22/02/2024,In,8.0,pcs,Stock IT,,,"MK410221102420
MK410220300197
MK410211201000
MK410211201512
MK410220300423
MK410221102371
MK410221102347
MK410220300326",
4,Antech,,22/02/2024,In,1.0,pcs,Stock IT,,,"DGAV141220180773
B5AT100009",
5,Poscom,,22/02/2024,In,2.0,pcs,Stock IT,,,2020092533,
6,KA410,,22/02/2024,In,1.0,pcs,Stock IT,,,20230526081,
7,Cash drawer of mall,Quỳnh AM đóng nhầm cash drawer của smart city,22/02/2024,In,1.0,pcs,Stock IT,,,200414009618,
8,Epson L850,Broken -Mr.Dat confirmed can't fix because don't have replacement components ,22/02/2024,In,1.0,pcs,Stock IT,,Broken,UTUY000488,
9,HP Laserjet P2055D,Broken -Mr.Dat confirmed can't fix because don't have replacement components ,22/02/2024,In,1.0,pcs,Stock IT,,Broken,CNCJY00421,
10,Epson TM-U220A,"Lose power supply, usb cable - Indo not use this model anymore (Mr.Dat confirmed)",22/02/2024,In,3.0,pcs,Stock IT,,Broken,"L98F275060
L97F002416
L9CF300124",
11,Canon L11121E,Old,22/02/2024,In,1.0,pcs,Stock IT,VN14,,NMYA744682,
12,Canon LBP 2900,"New, lô hàng satatech",22/02/2024,In,1.0,pcs,Stock IT,,,NMYA783808,
13,HP Laserjet pro M15w,Old,22/02/2024,In,1.0,pcs,Stock IT,VF02,,VNC3K04690,
14,HP Laserjet pro M15w,Old,22/02/2024,In,1.0,pcs,Stock IT,PO02,,VNC3K04070,
15,HP Laserjet pro M15w,Old,22/02/2024,In,1.0,pcs,Stock IT,VC01,,VNC3K05078,
16,HP Laserjet pro M12w,Old,22/02/2024,In,1.0,pcs,Stock IT,ZV09-12,,VNCW613481,
17,Antech,Old,22/02/2024,In,1.0,pcs,Stock IT,VF02,,DGAV141220180609,
18,HP Pavilion 550-029I,Old,22/02/2024,In,1.0,pcs,Location: Pantry room,Un-known,None-use,4CE5360DVB,
19,PC-none use,Don't know information - don't have any info on the case,22/02/2024,In,4.0,pcs,Location: Pantry room,Un-known,None-use,,
20,HDD 500Gb,Old,22/02/2024,In,1.0,pcs,Stock IT,PO01-Admin,None-use,W62LE31F,
21,HDD 500Gb,Old,22/02/2024,In,1.0,pcs,Stock IT,PO01-Pos2,None-use,W62KW2KT,
22,HDD 500Gb,Old,22/02/2024,In,1.0,pcs,Stock IT,PO02-Pos1,None-use,W62L7N1A,
23,HDD 500Gb,Old,22/02/2024,In,1.0,pcs,Stock IT,PO01-Server,None-use,W62LFH4H,
24,HDD 500Gb,Old,22/02/2024,In,1.0,pcs,Stock IT,PO01-POS,None-use,W62KWFS9,
25,HDD 500Gb,Old,22/02/2024,In,1.0,pcs,Stock IT,PO02-Pos2,None-use,W62LFM8W,
26,HDD 500Gb,Old,22/02/2024,In,1.0,pcs,Stock IT,PO02-Server,None-use,W62L7N7S,
27,HP ProDesk 400 G3 DM,Bazzar,26/02/2024,In,1.0,pcs,ZK05-ZW05-ZV05,,,8CG7127F7Q,
28,HP ProDesk 400 G3 DM,Bazzar,26/02/2024,In,1.0,pcs,ZV01-H103-H104,,,8CG8105MSK,
29,HP ProDesk 400 G3 DM,Bazzar,26/02/2024,In,1.0,pcs,H101-H102,,,8CG75234Q2,
30,HP 280 G3 MT ,none-info,26/02/2024,In,1.0,pcs,None-info,,,4CE7385WT0,
31,HP 190V,,26/02/2024,In,1.0,pcs,ZK05-ZW05-ZV05-ZV01-H103-H104-H101-H102,,,1CR8420G66,
32,HP 190V,,26/02/2024,In,1.0,pcs,VN17,,,1CR82307D4,
33,HP 190V,,26/02/2024,In,1.0,pcs,VF02,,,1CR84126GF,
34,HP 194V,IT-BACKUP,26/02/2024,In,1.0,pcs,,,,3CQ6361YDZ,
35,HP 190V,Mất đế ,26/02/2024,In,1.0,pcs,PO01,,,1CR82307CY,
36,HP 190V,Mất đế ,26/02/2024,In,1.0,pcs,PO01,,,1CR82307CJ,
37,AOC 1619Sw,Old,26/02/2024,In,1.0,pcs,,,,BMNB3JA000570,
38,AOC 931Swl,Old,26/02/2024,In,1.0,pcs,,,,CLCBCHA033328,
39,Samsung B1930N,Old,26/02/2024,In,1.0,pcs,,,,1458HYTZ912979F,
40,Acer P196HQL,Old,26/02/2024,In,1.0,pcs,,,,MMLNNSS002238003D34301,
41,AOC 931Swl,Old,26/02/2024,In,1.0,pcs,,,,CLCBAHA018980,
42,D-LINK DIR-619L,,26/02/2024,In,1.0,pcs,,,,RZPK2G2000820,
43,Lion (3 Port),,26/02/2024,In,1.0,pcs,,,,,
44,Power socket,,26/02/2024,In,2.0,pcs,,,,,
45,Cable extend usb,IT Tool,26/02/2024,In,1.0,pcs,,,,,
46,Comscope Cat5e,,26/02/2024,In,2.0,Box,,,,,
47,Keyboard,,26/02/2024,In,17.0,Pcs,,,,,
48,Mouse,,26/02/2024,In,16.0,Pcs,,,,,
49,Aruba APIN0303,FPT tặng khi kéo line internet dành cho mạng wifi guest,26/02/2024,In,1.0,Pcs,,,,CNNZK9T2C8,
